"SUID","ActivitySummary128Min","ActivitySummary16Min","ActivitySummary2Min","ActivitySummary32Min","ActivitySummary4Min","ActivitySummary64Min","ActivitySummary8Min","FirstActive","Gene","HeatMapBg1","HeatMapBg2","HeatMapBg3","HeatMapBg4","HeatMapBg5","HeatMapBg6","InsigPeptide10Log2FC","InsigPeptide1Log2FC","InsigPeptide2Log2FC","InsigPeptide3Log2FC","InsigPeptide4Log2FC","InsigPeptide5Log2FC","InsigPeptide6Log2FC","InsigPeptide7Log2FC","InsigPeptide8Log2FC","InsigPeptide9Log2FC","name","NodeType","Protein","ReferenceEGFR","selected","shared name","SigPeptide1Log2FC","SigPeptide2Log2FC","SigPeptide3Log2FC","SigPeptide4Log2FC","SigPeptide5Log2FC","SigPeptide6Log2FC"
"121",,,"0",,"0",,,"8","RBM8A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.392853|0.697573|0.440936|-0.16838|0.201723|0.325933|0.101957","0.0|-0.499722|0.760819|-3.37E-4|0.080023|-0.118425|0.048371|0.029645",,,,,,,,"RBM8A_HUMAN","InsigPrize","RNA-binding protein 8A (Binder of OVCA1-1) (BOV-1) (RNA-binding motif protein 8A) (RNA-binding protein Y14) (Ribonucleoprotein RBM8A)","false","false","RBM8A_HUMAN",,,,,,
"122",,,,,,,,"2","RBM15","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.141132|0.426131|0.081063|-0.189595|0.186313|0.01357|-0.211349",,,,,,,,,"RBM15_HUMAN","InsigPrize","Putative RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)","false","false","RBM15_HUMAN",,,,,,
"123",,,,,,,,"2","PTPRA","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.144374|-0.317423|-0.332385|-0.438509|-0.373031|-0.556971|-0.365031",,,,,,,,,"PTPRA_HUMAN","InsigPrize","Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48)","false","false","PTPRA_HUMAN",,,,,,
"124","0","0","1","0","-1","0","0","2","GAB1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.606104|0.247175|-0.182443|-0.144639|-0.043552|-0.040374|-0.313926",,,,,,,,,"GAB1_HUMAN","SigPrize","GRB2-associated-binding protein 1 (GRB2-associated binder 1) (Growth factor receptor bound protein 2-associated protein 1)","true","false","GAB1_HUMAN","0.0|2.106473|1.705775|1.128594|1.012608|0.760694|0.728156|0.324223","0.0|2.159985|1.868177|1.902938|1.898124|1.58326|1.373997|1.028551","0.0|0.804724|0.766787|0.664263|0.683999|0.653674|0.406589|0.293401",,,
"125","0","0","0","0","1","0","0","4","USP39","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.174943|-0.018869|0.324123|-0.584827|-0.471906|-0.577038|-0.314403","0.0|0.254146|0.507451|0.539541|0.07268|0.46719|0.341012|0.371352",,,,,,,,"SNUT2_HUMAN","SigPrize","U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)","false","false","SNUT2_HUMAN","0.0|-0.193502|0.493562|0.183918|0.099613|0.015283|0.009621|-0.173387",,,,,
"126",,,,,,,,"2","POGZ","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.046741|-0.684628|-0.210626|-0.002854|-0.344914|-0.05295|-0.124349",,,,,,,,,"POGZ_HUMAN","InsigPrize","Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635)","false","false","POGZ_HUMAN",,,,,,
"127","0","0","0","1","0","0","0","32","UBE2O","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"UBE2O_HUMAN","SigPrize","E2/E3 hybrid ubiquitin-protein ligase UBE2O (EC 6.3.2.-) (EC 6.3.2.19) (Ubiquitin carrier protein O) (Ubiquitin-conjugating enzyme E2 O) (Ubiquitin-conjugating enzyme E2 of 230 kDa) (Ubiquitin-conjugating enzyme E2-230K) (Ubiquitin-protein ligase O)","false","false","UBE2O_HUMAN","0.0|-0.093497|0.020213|0.420632|0.578968|1.075328|0.90424|0.688124",,,,,
"128","0","0","0","0","0","0","1","8","PNN","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.228796|-0.327117|-0.111452|0.245794|-0.477978|-0.167904|-0.03715","0.0|-0.523765|-0.861868|-0.003394|-1.221888|-1.502734|-0.983908|-1.333079",,,,,,,,"PININ_HUMAN","SigPrize","Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)","false","false","PININ_HUMAN","0.0|0.038346|-0.232656|0.459397|0.274474|0.512156|0.389193|0.440772",,,,,
"129",,,,,,,,"2","PHIP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.154883|0.152108|0.060267|-0.049788|-0.302496|-0.149929|-0.76701",,,,,,,,,"PHIP_HUMAN","InsigPrize","PH-interacting protein (PHIP) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)","false","false","PHIP_HUMAN",,,,,,
"130",,,,,,,,"2","CHGB","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"SCG1_HUMAN","Steiner","Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: GAWK peptide; CCB peptide]","false","false","SCG1_HUMAN",,,,,,
"131","0","0","0","0","0","0","1","8","CBFB","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"PEBB_HUMAN","SigPrize","Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)","false","false","PEBB_HUMAN","0.0|0.819663|1.290986|1.533271|1.146079|0.739428|0.139418|-0.24825",,,,,
"132","0","0","1","0","0","0","0","2","PDLIM1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.154266|-0.063011|-0.084979|5.81E-4|-0.087424|-0.496455|-0.196962",,,,,,,,,"PDLI1_HUMAN","SigPrize","PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)","false","false","PDLI1_HUMAN","0.0|0.96597|0.511276|0.480316|0.414543|0.096191|0.017308|0.142357",,,,,
"133","0","0","1","0","0","0","0","2","TBCB","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"TBCB_HUMAN","SigPrize","Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)","false","false","TBCB_HUMAN","0.0|0.935913|0.640796|0.541878|0.349482|0.109936|0.175426|-0.505086",,,,,
"134","0","0","-1","0","-1","0","0","2","PGAM1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"PGAM1_HUMAN","SigPrize","Phosphoglycerate mutase 1 (EC 3.1.3.13) (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B)","false","false","PGAM1_HUMAN","0.0|-0.66879|-0.682827|-0.597217|-0.570309|-0.321039|-0.271392|-0.239181",,,,,
"135",,,,,,,,"2","PAK1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"PAK1_HUMAN","Steiner","Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)","true","false","PAK1_HUMAN",,,,,,
"136","-1","0","0","0","0","0","0","128","SERBP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"PAIRB_HUMAN","SigPrize","Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)","false","false","PAIRB_HUMAN","0.0|-0.393304|-0.317617|-0.304039|-0.3207|-0.362984|-0.496986|-0.591708",,,,,
"137",,,,,,,,"2","PI4KA","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.516808|-0.480524|-0.093621|0.03263|-0.19739|0.122203|0.008876","0.0|-0.561676|-0.62914|-0.176217|-0.009862|-0.037909|-0.143292|-0.030952",,,,,,,,"PI4KA_HUMAN","InsigPrize","Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67)","false","false","PI4KA_HUMAN",,,,,,
"138","0","0","0","-1","0","0","0","32","OSBP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.057478|0.087445|-0.121804|-0.196654|-0.340899|0.055725|0.232923",,,,,,,,,"OSBP1_HUMAN","SigPrize","Oxysterol-binding protein 1","false","false","OSBP1_HUMAN","0.0|-0.181902|-0.286981|-0.149019|-0.21533|-0.337455|-0.136529|0.164995",,,,,
"139","0","1","0","1","0","0","0","16","OPTN","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"OPTN_HUMAN","SigPrize","Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)","false","false","OPTN_HUMAN","0.0|-0.032931|0.688733|0.958233|1.362713|1.430256|1.397201|1.169453",,,,,
"140",,,,,,,,"2","TPR","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.016541|-0.455121|-0.11182|-0.21536|-0.00879|0.218205|0.241303","0.0|0.604912|1.129764|0.975317|0.924586|0.96849|0.983661|0.566877",,,,,,,,"TPR_HUMAN","InsigPrize","Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)","false","false","TPR_HUMAN",,,,,,
"141","1","0","0","0","0","1","0","64","NUP62","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"NUP62_HUMAN","SigPrize","Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)","false","false","NUP62_HUMAN","0.0|0.125338|0.118288|0.744235|0.777178|0.977976|1.184932|1.409364",,,,,
"142",,,,,,,,"2","NRBP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.116005|0.467474|-0.153596|0.009764|-0.084466|0.260741|0.394575",,,,,,,,,"NRBP_HUMAN","InsigPrize","Nuclear receptor-binding protein","false","false","NRBP_HUMAN",,,,,,
"143","0","0","0","0","-1","0","0","4","NKAP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.224388|-0.152487|-0.039779|-0.165759|-0.011385|-0.061294|-0.145779",,,,,,,,,"NKAP_HUMAN","SigPrize","NF-kappa-B-activating protein","false","false","NKAP_HUMAN","0.0|-0.183284|-1.232771|-0.404799|-0.552783|-0.383437|-0.301122|-0.485725",,,,,
"144",,"0","0","0","0",,"0","64","NIPBL","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.008128|-0.063945|-0.32566|0.053382|0.214763|-0.177951|-0.257218","0.0|0.082123|0.601644|0.279983|-0.098287|0.027296|0.398111|0.08649",,,,,,,,"NIPBL_HUMAN","InsigPrize","Nipped-B-like protein (Delangin) (SCC2 homolog)","false","false","NIPBL_HUMAN",,,,,,
"145","0","0","-1","0","-1","0","0","2","NHLRC2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"NHLC2_HUMAN","SigPrize","NHL repeat-containing protein 2","false","false","NHLC2_HUMAN","0.0|-0.604233|-0.627446|-0.607173|-0.365604|-0.307982|-0.134731|-0.212849",,,,,
"146",,,,,,,,"2","DPP3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"DPP3_HUMAN","Steiner","Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)","false","false","DPP3_HUMAN",,,,,,
"147","0","0","0","0","1","0","0","4","PTPLAD1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.259713|0.060426|-0.312678|-0.257918|-0.226874|-0.13905|-0.183196",,,,,,,,,"HACD3_HUMAN","SigPrize","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein tyrosine phosphatase-like protein PTPLAD1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)","false","false","HACD3_HUMAN","0.0|-0.196949|0.277753|0.111814|-0.299934|-0.461953|-0.230359|-0.080013",,,,,
"148","0","0","0","0","-1","0","0","4","SVIL","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.09615|0.024435|-0.035076|0.101376|-0.025134|-0.038111|0.040806",,,,,,,,,"SVIL_HUMAN","SigPrize","Supervillin (Archvillin) (p205/p250)","false","false","SVIL_HUMAN","0.0|0.00633|-0.294245|-0.178946|-0.171558|0.003308|0.022806|-0.081316",,,,,
"149",,,,,,,,"2","RAD50","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.906162|-0.66811|-0.997999|-0.78674|-0.424598|-0.59981|-0.007576","0.0|-0.012682|-0.925338|-0.193877|-0.508998|-0.37855|-0.69361|-0.522386",,,,,,,,"RAD50_HUMAN","InsigPrize","DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-)","false","false","RAD50_HUMAN",,,,,,
"150",,,,,,,,"2","MRE11A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.047648|0.373316|-0.051298|0.07501|0.161935|0.228921|0.514943","0.0|-0.007533|-0.344959|-0.242426|-0.39559|-0.214302|-0.100886|-0.044064",,,,,,,,"MRE11_HUMAN","InsigPrize","Double-strand break repair protein MRE11A (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)","false","false","MRE11_HUMAN",,,,,,
"151","1","0","1","0","0","0","1","2","PTPN11","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.180529|0.064888|-0.264573|-0.004269|-0.169231|-0.121461|0.086303","0.0|1.810265|1.476189|2.23072|1.720158|1.31118|0.971537|0.183544",,,,,,,,"PTN11_HUMAN","SigPrize","Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)","true","false","PTN11_HUMAN","0.0|2.144711|1.649273|2.486949|1.895915|1.515067|1.114134|0.333561","0.0|-0.507605|-0.670649|-0.328642|-0.256004|-0.010254|0.477362|0.729742","0.0|1.676137|1.236169|0.95818|0.874489|0.739855|0.554128|0.310745",,,
"152",,,,,,,,"2","MPZL1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.501816|-0.47344|-0.376655|0.075748|0.152828|0.120655|-0.651513",,,,,,,,,"MPZL1_HUMAN","InsigPrize","Myelin protein zero-like protein 1 (Protein zero-related)","false","false","MPZL1_HUMAN",,,,,,
"153","0","0","1","0","0","0","0","2","STAT3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"STAT3_HUMAN","SigPrize","Signal transducer and activator of transcription 3 (Acute-phase response factor)","true","false","STAT3_HUMAN","0.0|0.961015|0.753924|0.614206|0.663832|0.177031|0.148819|0.106571",,,,,
"154","0","0","1","0","1","0","1","2","MAPK3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"MK03_HUMAN","SigPrize","Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)","true","false","MK03_HUMAN","0.0|1.953634|2.26984|2.329998|2.210559|2.227324|2.149876|2.186486","0.0|2.700195|3.008742|3.028985|2.898179|2.88731|2.742536|2.635094",,,,
"155","0","0","0","0","1","0","1","4","MKL1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"MKL1_HUMAN","SigPrize","MKL/myocardin-like protein 1 (Megakaryoblastic leukemia 1 protein) (Megakaryocytic acute leukemia protein) (Myocardin-related transcription factor A) (MRTF-A)","false","false","MKL1_HUMAN","0.0|1.151917|1.811843|2.141121|2.071849|1.536123|1.445435|0.659678",,,,,
"156","0","0","0","0","-1","0","0","4","PRPSAP1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"KPRA_HUMAN","SigPrize","Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39)","false","false","KPRA_HUMAN","0.0|-0.389715|-0.890247|-0.593003|-0.633368|-0.769424|-0.851307|-0.038702",,,,,
"157","0","0","-1","0","-1","0","0","2","ICK","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"ICK_HUMAN","SigPrize","Serine/threonine-protein kinase ICK (EC 2.7.11.22) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)","false","false","ICK_HUMAN","0.0|-0.83699|-1.020956|-0.70039|-0.882178|-0.652098|-0.41411|-0.450437",,,,,
"158",,,,,,,,"2","ERF","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.429619|0.054789|-0.00967|-0.332178|0.186341|0.068493|0.479129",,,,,,,,,"ERF_HUMAN","InsigPrize","ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)","false","false","ERF_HUMAN",,,,,,
"159","0","0","0","0","-1","0","0","4","ABI1","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.231206|0.19849|0.075835|-0.638149|-0.045637|-0.221096|-0.550908",,,,,,,,,"ABI1_HUMAN","SigPrize","Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)","true","false","ABI1_HUMAN","0.0|0.545919|-0.354509|-0.198775|-0.226495|-0.143123|-0.101186|-0.154907",,,,,
"160",,,,,,,,"2","MCMBP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.542501|-0.274959|0.652552|-0.302835|-0.521107|-0.107849|-0.104387",,,,,,,,,"MCMBP_HUMAN","InsigPrize","Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein)","false","false","MCMBP_HUMAN",,,,,,
"161","0","0","0","0","-1","0","0","4","MYBBP1A","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|-0.094739|-0.666868|-0.086553|-0.069113|-0.75854|-0.295113|-0.243613","0.0|-0.315069|-0.246735|-0.19543|-0.436966|-0.390167|-0.177081|0.110134",,,,,,,,"MBB1A_HUMAN","SigPrize","Myb-binding protein 1A","false","false","MBB1A_HUMAN","0.0|-0.047486|-1.013075|-0.378802|-0.373616|-0.177792|-0.254738|-0.018995",,,,,
"162","1","0","0","0","0","1","0","64","MARCKS","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.676804|1.116447|1.60951|1.856846|2.216901|2.084041|2.629179","0.0|0.095081|-1.033748|0.282941|-0.447174|-0.4788|0.002697|0.284168",,,,,,,,"MARCS_HUMAN","SigPrize","Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)","false","false","MARCS_HUMAN","0.0|1.98528|2.579063|3.202242|3.455659|3.480265|3.614132|3.928356","0.0|-0.18015|-0.232162|-0.08644|-0.115809|0.395953|0.704541|1.326784","0.0|-0.40734|-1.470788|-0.349728|-0.944793|-0.781763|-0.91582|-0.279658",,,
"163",,,,,,,,"2","TNFAIP3","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"TNAP3_HUMAN","Steiner","Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 3.4.19.12) (EC 6.3.2.-) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]","false","false","TNAP3_HUMAN",,,,,,
"164",,,,,,,,"2","LMNB2","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.25469|0.399811|0.754636|0.631049|1.003492|0.90014|0.312647",,,,,,,,,"LMNB2_HUMAN","InsigPrize","Lamin-B2","false","false","LMNB2_HUMAN",,,,,,
"165","0","0","0","1","0","0","0","32","LAS1L","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,,,,,,,,,,"LAS1L_HUMAN","SigPrize","Ribosomal biogenesis protein LAS1L (Protein LAS1 homolog)","false","false","LAS1L_HUMAN","0.0|-0.332631|-0.115048|-0.053116|0.033647|0.308558|0.180518|0.284118",,,,,
"166",,,"0",,,,,"4","PNKP","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0","0|0|0|0|0|0|0",,"0.0|0.016498|-0.34844|-0.460697|-0.422411|-0.189957|-0.314876|-0.077635",,,,,,,,,"PNKP_HUMAN","InsigPrize","Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]","false","false","PNKP_HUMAN",,,,,,
